Teams,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,oRAR,,,,,,
HOU,6271,190,-6,-5,-2,-6,171,17.6,221,392,38.9,394,,,,,,
MIA,6248,49,1,9,18,58,135,12.2,189,324,30.4,306,,,,,,
NYY,6354,61,2,1,11,-3,73,7.9,225,297,29.6,286,,,,,,
MIN,6261,29,8,5,25,-5,62,7,221,284,28.4,259,,,,,,
CLE,6234,25,10,3,29,-5,62,6.9,221,283,28.1,254,,,,,,
LAD,6191,26,0,-2,28,59,110,9.7,190,301,28.1,273,,,,,,
CHC,6283,-1,-4,5,31,60,91,7.8,191,282,26.2,251,,,,,,
SEA,6166,23,-4,1,20,-3,37,4.3,218,255,25.3,235,,,,,,
CIN,6213,-30,-13,0,55,59,71,5.7,189,260,23.9,205,,,,,,
STL,6219,-4,-3,-4,-3,57,43,2.9,191,234,21.5,237,,,,,,
WSN,6214,-16,2,-1,1,61,46,3.2,188,235,21.4,234,,,,,,
TBR,6147,-18,0,7,9,-4,-7,0.1,219,213,21.2,203,,,,,,
BOS,6338,-67,6,2,47,-3,-15,-0.7,222,208,20.7,161,,,,,,
ARI,6224,-53,11,5,13,60,37,2.3,190,227,20.6,214,,,,,,
LAA,6073,-60,6,-3,52,-3,-8,-0.3,216,208,20.5,156,,,,,,
BAL,6140,-1,1,-4,-5,-6,-15,-1,218,203,20.1,208,,,,,,
OAK,6126,34,-2,-10,-42,-3,-24,-1.7,218,194,19.4,236,,,,,,
NYM,6169,6,-7,0,-48,56,7,-0.6,190,197,17.8,245,,,,,,
MIL,6135,-50,2,1,-9,56,0,-1.2,189,189,17,198,,,,,,
CHW,6059,-22,0,-1,-20,-4,-47,-4.2,216,169,16.6,188,,,,,,
COL,6201,-88,3,-5,21,60,-9,-2.5,187,178,15.6,157,,,,,,
TEX,6122,-75,8,2,3,-4,-66,-6.1,218,152,15,149,,,,,,
PHI,6133,-75,-6,1,-8,53,-35,-5,188,153,13.2,161,,,,,,
TOR,6154,-71,-6,-8,-1,-3,-89,-8.5,219,130,12.6,131,,,,,,
ATL,6216,-69,5,2,-40,57,-45,-6,189,144,12.2,184,,,,,,
KCR,6027,-62,6,-4,-46,-3,-109,-10.4,215,105,10.4,152,,,,,,
PIT,6136,-103,-14,5,-8,55,-65,-8,189,123,10.3,131,,,,,,
DET,6150,-14,-5,-1,-88,-6,-115,-11,219,104,10.2,192,,,,,,
SDP,5954,-124,-3,3,5,54,-65,-7.9,184,119,9.8,114,,,,,,
SFG,6137,-154,3,-3,-37,54,-137,-15.2,189,53,3,89,,,,,,
,,,,,,,,,,,,,,,,,,
